"","total","expected","hits","Raw p","Holm p","FDR"
"Biosynthesis of unsaturated fatty acids",36,0.608,9,1.72e-09,1.37e-07,1.37e-07
"Primary bile acid biosynthesis",46,0.777,4,0.00645,0.51,0.258
"Arachidonic acid metabolism",44,0.743,3,0.0358,1,0.956
"Linoleic acid metabolism",5,0.0845,1,0.0818,1,1
"Arginine and proline metabolism",36,0.608,2,0.122,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.135,1,0.128,1,1
"Taurine and hypotaurine metabolism",8,0.135,1,0.128,1,1
"Fatty acid biosynthesis",47,0.794,2,0.187,1,1
"alpha-Linolenic acid metabolism",13,0.22,1,0.199,1,1
"Butanoate metabolism",15,0.253,1,0.226,1,1
"Fructose and mannose metabolism",20,0.338,1,0.29,1,1
"Galactose metabolism",27,0.456,1,0.371,1,1
"Alanine, aspartate and glutamate metabolism",28,0.473,1,0.382,1,1
"Glycine, serine and threonine metabolism",33,0.558,1,0.433,1,1
"Cysteine and methionine metabolism",33,0.558,1,0.433,1,1
"Glycerophospholipid metabolism",36,0.608,1,0.462,1,1
"Valine, leucine and isoleucine degradation",39,0.659,1,0.49,1,1
"Tryptophan metabolism",41,0.693,1,0.507,1,1
"Purine metabolism",70,1.18,1,0.705,1,1
