"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000786","Oxypurinol","HMDB0000786","4644","C07599","O=C1NC(=O)C2=CNNC2=N1","1"
"HMDB0007041","DG(14:1(9Z)/16:1(9Z)/0:0)","HMDB0007041","53477976",NA,"[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0002329","Oxalic acid","HMDB0002329","971","C00209","OC(=O)C(O)=O","1"
"HMDB0008928","PE(16:0/18:2(9Z,12Z))","HMDB0008928","9546747","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0009060","PE(18:1(9Z)/18:2(9Z,12Z))","HMDB0009060","9546753","C00350","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0008994","PE(18:0/18:2(9Z,12Z))","HMDB0008994","9546749","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0000289","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"HMDB0008993","PE(18:0/18:1(9Z))","HMDB0008993","9546742","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0029723","Saccharin","HMDB0029723","5143","C12283","OC1=NS(=O)(=O)C2=CC=CC=C12","1"
"HMDB0047885","NA","NA","NA","NA","NA","0"
"HMDB0042278","NA","NA","NA","NA","NA","0"
"HMDB0047908","NA","NA","NA","NA","NA","0"
"HMDB0099325","NA","NA","NA","NA","NA","0"
"HMDB0043169","NA","NA","NA","NA","NA","0"
"HMDB0042548","NA","NA","NA","NA","NA","0"
"HMDB0042068","NA","NA","NA","NA","NA","0"
"HMDB0042789","NA","NA","NA","NA","NA","0"
"HMDB0072022","NA","NA","NA","NA","NA","0"
"HMDB0047745","NA","NA","NA","NA","NA","0"
"HMDB0042279","NA","NA","NA","NA","NA","0"
"HMDB0048587","NA","NA","NA","NA","NA","0"
"HMDB0042098","NA","NA","NA","NA","NA","0"
"HMDB0042751","NA","NA","NA","NA","NA","0"
"HMDB0072780","NA","NA","NA","NA","NA","0"
"HMDB0043170","NA","NA","NA","NA","NA","0"
"HMDB0010497","TG(18:3(9Z,12Z,15Z)/14:0/18:3(9Z,12Z,15Z))","HMDB0010497","53480546",NA,"[H]C(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0042811","NA","NA","NA","NA","NA","0"
"HMDB0042301","NA","NA","NA","NA","NA","0"
"HMDB0042752","NA","NA","NA","NA","NA","0"
"HMDB0010419","TG(16:1(9Z)/14:0/16:1(9Z))","HMDB0010419","53480484",NA,"[H]C(COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0005432","TG(16:1(9Z)/16:1(9Z)/16:1(9Z))","HMDB0005432","9543989",NA,"[H]C(COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0042063","NA","NA","NA","NA","NA","0"
"HMDB0010412","TG(16:0/14:0/16:1(9Z))","HMDB0010412","53480480",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0042093","NA","NA","NA","NA","NA","0"
"HMDB0010411","TG(16:0/14:0/16:0)","HMDB0010411","545606",NA,"[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0042094","NA","NA","NA","NA","NA","0"
"HMDB0005356","TG(16:0_32:0)","HMDB0005356","11147",NA,"[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0011621","Cinnamoylglycine","HMDB0011621","709625",NA,"OC(=O)CNC(=O)\C=C\C1=CC=CC=C1","1"
"HMDB0005357","TG(16:0_34:0)","HMDB0005357","99649112",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0031106","Glycerol triheptadecanoate","HMDB0031106","3625612",NA,"CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC","1"
"HMDB0005365","TG(16:0/18:0/18:0)","HMDB0005365","99647664",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0048749","NA","NA","NA","NA","NA","0"
"HMDB0005395","TG(18:0_36:1)","HMDB0005395","16058371",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0044261","NA","NA","NA","NA","NA","0"
"HMDB0005393","TG(18:0/18:0/18:0)","HMDB0005393","11146",NA,"[H]C(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0011221","PC(P-16:0/20:4(8Z,11Z,14Z,17Z))","HMDB0011221","53480687",NA,"CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"HMDB0043375","NA","NA","NA","NA","NA","0"
"HMDB0005396","TG(18:0/18:0/20:1(11Z))","HMDB0005396","9544351",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0044121","NA","NA","NA","NA","NA","0"
"HMDB0043925","NA","NA","NA","NA","NA","0"
"HMDB0062517","Pentadecanoylcarnitine","HMDB0062517","123132011",NA,"CCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0000696","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"HMDB0001954","3-Hydroxyoctanoic acid","HMDB0001954","11367166",NA,"CCCCC[C@H](O)CC(O)=O","1"
"HMDB0001565","Phosphorylcholine","HMDB0001565","1014","C00588","C[N+](C)(C)CCOP(O)(O)=O","1"
"HMDB0029022","Prolyl-Lysine","HMDB0029022","13653495",NA,"NCCCCC(NC(=O)C1CCCN1)C(O)=O","1"
"HMDB0002203","3-Hydroxycapric acid","HMDB0002203","5312799",NA,"CCCCCCC[C@H](O)CC(O)=O","1"
"HMDB0028951","Lysylglycine","HMDB0028951","7022320",NA,"NCCCC[C@H](N)C(=O)NCC(O)=O","1"
"HMDB0013328","Pimelylcarnitine","HMDB0013328","53481699",NA,"C[N+](C)(C)C[C@@H](CC([O-])=O)OC(=O)CCCCCC(O)=O","1"
"HMDB0013238","Heptanoylcarnitine","HMDB0013238","53481699",NA,"CCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0031002","3-Decenoic acid","HMDB0031002","5312350",NA,"CCCCCC\C=C/CC(O)=O","1"
"HMDB0001925","Ibuprofen","HMDB0001925","3672","C01588","CC(C)CC1=CC=C(C=C1)C(C)C(O)=O","1"
"HMDB0033724","Undecylenic acid","HMDB0033724","5634","C13910","OC(=O)CCCCCCCCC=C","1"
"HMDB0003178","Heme","HMDB0003178","26945","C00032","CC1=C(CCC(O)=O)C2=CC3=[N+]4C(=CC5=C(C)C(C=C)=C6C=C7C(C)=C(C=C)C8=[N+]7[Fe--]4(N2C1=C8)N56)C(C)=C3CCC(O)=O","1"
"HMDB0000698","Lithocholic acid glycine conjugate","HMDB0000698","115245","C15557","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O","1"
"HMDB0000529","5Z-Dodecenoic acid","HMDB0000529","5312378",NA,"CCCCCC\C=C/CCCC(O)=O","1"
