"","total","expected","hits","Raw p","Holm p","FDR"
"Biosynthesis of unsaturated fatty acids",11,1.32,10,3.69e-09,2.95e-07,2.95e-07
"Arachidonic acid metabolism",3,0.36,3,0.00167,0.132,0.0669
"Fatty acid biosynthesis",5,0.6,3,0.0139,1,0.372
"Fatty acid elongation",1,0.12,1,0.12,1,1
"Fatty acid degradation",1,0.12,1,0.12,1,1
"Linoleic acid metabolism",1,0.12,1,0.12,1,1
"alpha-Linolenic acid metabolism",1,0.12,1,0.12,1,1
"Cysteine and methionine metabolism",3,0.36,1,0.319,1,1
"Valine, leucine and isoleucine biosynthesis",4,0.48,1,0.401,1,1
"Butanoate metabolism",4,0.48,1,0.401,1,1
"Porphyrin metabolism",4,0.48,1,0.401,1,1
"Purine metabolism",5,0.6,1,0.473,1,1
"Valine, leucine and isoleucine degradation",5,0.6,1,0.473,1,1
"Glycerophospholipid metabolism",5,0.6,1,0.473,1,1
"Glycine, serine and threonine metabolism",6,0.72,1,0.537,1,1
"Arginine and proline metabolism",6,0.72,1,0.537,1,1
"Alanine, aspartate and glutamate metabolism",8,0.96,1,0.642,1,1
